Dataset,Variant,Fitness_Mean,Fitness_Std,Accuracy_Mean,Accuracy_Std,Selected_Mean,Time_Mean
Ionosphere,AMPA_C,0.06997317795042544,0.019215218588866347,0.9323899371069182,0.01934665209468179,10.333333333333334,2.7215737104415894
Ionosphere,AMPA_A,0.06862005179430261,0.023073137013006496,0.9336477987421382,0.02317036103118068,9.966666666666667,2.6082617044448853
Ionosphere,AMPA_E,0.07106400295967442,0.020709040792968095,0.930817610062893,0.021420611781039496,10.966666666666667,2.6416290044784545
Ionosphere,AMPA_CA,0.06753163152053272,0.020680783876838544,0.9349056603773584,0.020718951459156136,10.5,2.7314165274302167
Ionosphere,AMPA_CE,0.07023547909729928,0.02209112532594735,0.9320754716981132,0.022244954948210556,10.266666666666667,2.7356579621632893
Ionosphere,AMPA_AE,0.06936034036256009,0.02285306136883329,0.9327044025157232,0.022815543581405095,10.433333333333334,2.6093461990356444
Ionosphere,AMPA_FS,0.06800961894191637,0.022132056628335513,0.9342767295597483,0.021987856737626838,11.166666666666666,2.7452897230784097
Sonar,BMPA,0.06740873015873018,0.02403151990048984,0.935978835978836,0.024413274063617624,24.166666666666668,2.673828681310018
Sonar,AMPA_C,0.06767539682539686,0.023432729244021778,0.935978835978836,0.023715274953454994,25.766666666666666,2.7628581206003826
Sonar,AMPA_A,0.07348333333333336,0.02458307844135508,0.9296296296296297,0.024822654192042114,22.9,2.5370132446289064
Sonar,AMPA_E,0.06688492063492066,0.025838785967848117,0.9365079365079365,0.026242532841560303,24.233333333333334,2.6758222818374633
Sonar,AMPA_CA,0.0652634920634921,0.02475727286755855,0.9380952380952381,0.025047196568348418,23.866666666666667,2.7656574487686156
Sonar,AMPA_CE,0.0677309523809524,0.023739130185523444,0.9354497354497354,0.024567591039669618,26.2,2.7516873677571616
Sonar,AMPA_AE,0.07140476190476194,0.02397949568176794,0.9285714285714286,0.02551230360051046,22.966666666666665,2.562612946828206
Sonar,AMPA_FS,0.06633333333333336,0.02669324922230038,0.935978835978836,0.025752578886006263,24.066666666666666,2.7126203775405884
Dermatology,BMPA,0.008452614379084981,0.005289587194506053,0.9959876543209876,0.005173782288345755,15.233333333333333,2.7019176483154297
Dermatology,AMPA_C,0.007544117647058832,0.005047057649140856,0.9972222222222221,0.004870288221623312,16.3,2.8924121538798016
Dermatology,AMPA_A,0.008482026143790865,0.005317659520570111,0.9959876543209876,0.005173782288345756,15.333333333333334,2.6924708207448322
Dermatology,AMPA_E,0.008728758169934651,0.005792214241916101,0.995679012345679,0.0057244558614171085,15.266666666666667,2.7144762833913165
Dermatology,AMPA_CA,0.007890522875817006,0.004420280150317167,0.9966049382716048,0.0044619852761731554,15.4,2.8215827544530234
Dermatology,AMPA_CE,0.007839869281045762,0.00510306334470007,0.9969135802469135,0.004976702313764548,16.4,2.899307624499003
Dermatology,AMPA_AE,0.008433006535947727,0.005222424932873974,0.9959876543209876,0.005173782288345756,15.333333333333334,2.724893887837728
Dermatology,AMPA_FS,0.008462418300653612,0.004496721635589929,0.9956790123456789,0.004619330107128343,15.266666666666667,2.8132667700449625
Vehicle,BMPA,0.23833858267716537,0.012429678917071441,0.7643044619422573,0.012562832486902167,9.0,3.2703132073084515
Vehicle,AMPA_C,0.23887620297462817,0.014200300040254661,0.7640419947506563,0.014587604442614446,9.5,3.515560785929362
Vehicle,AMPA_A,0.23848673082531355,0.011020944043548616,0.7643044619422572,0.011261647219383162,9.266666666666667,3.194481682777405
Vehicle,AMPA_E,0.23841265675123946,0.01267132293733329,0.7637795275590552,0.013331679894173531,9.266666666666667,3.2870078245798746
Vehicle,AMPA_CA,0.24112190142898804,0.013275941925638558,0.7618110236220474,0.013590757990293944,9.566666666666666,3.3367847998936973
Vehicle,AMPA_CE,0.23872747156605423,0.01428119761457159,0.762729658792651,0.016102741889950624,9.766666666666667,3.394699454307556
Vehicle,AMPA_AE,0.24065835520559933,0.011070330076170377,0.7615485564304462,0.011441432293373799,9.233333333333333,3.1800406217575072
Vehicle,AMPA_FS,0.23973009623797029,0.014554257550851884,0.7623359580052493,0.01346599942239931,9.4,3.3742992560068767
Parkinsons,BMPA,0.0196900359527478,0.013348121366574582,0.9836158192090394,0.013476678465397247,7.633333333333334,2.330472787221273
Parkinsons,AMPA_C,0.021474062660503324,0.01589637692833881,0.9819209039548021,0.01633540372293894,7.866666666666666,2.4309839089711507
Parkinsons,AMPA_A,0.01937313816127374,0.014215632408837832,0.984180790960452,0.014470337259735249,8.166666666666666,2.3070499499638877
Parkinsons,AMPA_E,0.020793528505392893,0.014594477522004537,0.9824858757062145,0.014829835873905862,7.7,2.4381285190582274
Parkinsons,AMPA_CA,0.019432460195172044,0.014001465648859637,0.9836158192090395,0.014169419439530456,7.066666666666666,2.440700133641561
Parkinsons,AMPA_CE,0.021413456599897265,0.015963693106070924,0.9819209039548021,0.01633540372293894,7.8,2.4842216968536377
Parkinsons,AMPA_AE,0.018647149460708768,0.014612206865042205,0.9836158192090395,0.014169419439530453,7.833333333333333,2.356788643201192
Parkinsons,AMPA_FS,0.019885721623009747,0.013713641278898254,0.9819209039548021,0.013792718209868599,7.066666666666666,2.4785855611165366
