Dataset,Algorithm,accuracy,precision,sensitivity,specificity,f1,auc,n_selected,Runtime_s
Zoo,BCMAES,0.9438943894389439,0.8876559287273572,0.8759635486464753,0.9910885183214267,0.8736606574699628,0.9721320510167986,6.333333333333333,0.9788917064666748
Heart,AMPA_FS,0.8048423423423422,0.8049955851377992,0.8017953431372548,0.8017953431372548,0.8026912060427683,0.8738189338235293,7.0,3.982969705263774
Heart,BMPA,0.8032657657657658,0.8034685040543855,0.8000428921568628,0.8000428921568628,0.8010257306666814,0.8682383578431373,7.033333333333333,3.8584519068400067
Heart,BPSO,0.7988738738738739,0.7991326286658189,0.7955208333333333,0.7955208333333333,0.7965337947324022,0.8675367647058823,7.066666666666666,4.394769899050394
Heart,BGA,0.7945945945945947,0.7941530503423224,0.7919485294117649,0.7919485294117649,0.7926170716082858,0.8655798100490197,6.466666666666667,0.38594027360280353
Heart,BGWO,0.8074324324324323,0.8075618778319489,0.8043014705882354,0.8043014705882354,0.8052906872857559,0.8760041360294117,7.6,4.409494058291117
Heart,BWOA,0.8066441441441441,0.8067630849363056,0.8034436274509804,0.8034436274509804,0.8044613987512482,0.8778109681372551,7.733333333333333,6.540249681472778
Heart,BSSA,0.8012387387387386,0.8011939819760122,0.7982046568627449,0.7982046568627449,0.799096415275362,0.8744630821078431,7.366666666666666,6.436066754659017
Heart,BHHO,0.8027027027027027,0.802878821784958,0.7995588235294118,0.7995588235294118,0.8005207938896192,0.8737637867647059,7.266666666666667,6.510999798774719
Heart,BSCA,0.7990990990990989,0.7990870805640451,0.7960049019607845,0.7960049019607845,0.7969329150855946,0.8724134497549021,7.166666666666667,6.554588929812113
Heart,BGOA,0.8045045045045047,0.8043804718647425,0.8014644607843138,0.8014644607843138,0.8023994227268534,0.8741620710784314,7.433333333333334,6.446191740036011
Heart,BWSO,0.8037162162162163,0.8034814629933773,0.8009007352941178,0.8009007352941178,0.8017125801751762,0.8720220588235293,7.233333333333333,0.41978660424550374
Heart,BEHO,0.7992117117117117,0.7990209944561487,0.7962377450980391,0.7962377450980391,0.7970774829420173,0.8703492647058824,6.933333333333334,1.2381805181503296
Heart,BCMAES,0.8020270270270269,0.8016807039622371,0.7993382352941177,0.7993382352941177,0.8000338895268803,0.8703538602941175,6.8,0.6453164498011271
BreastCancer,AMPA_FS,0.9540714704159344,0.9532478333605677,0.9482633934076774,0.9482633934076774,0.950615738891067,0.9876708859644486,11.833333333333334,7.763861846923828
BreastCancer,BMPA,0.9558875219683656,0.9551579347993076,0.9502215351549427,0.9502215351549427,0.9525726245232292,0.9883520074696545,11.033333333333333,7.4107534170150755
BreastCancer,BPSO,0.9554188635032222,0.9544883290046199,0.9499119144513152,0.9499119144513152,0.952083642948003,0.9871553652907703,10.9,12.527628302574158
BreastCancer,BGA,0.9556531927357937,0.9548102130389805,0.9500667248031287,0.9500667248031287,0.9523260547024474,0.9873793227983018,10.366666666666667,1.4975011348724365
BreastCancer,BGWO,0.9568834212067955,0.9559816880829061,0.9515580131423639,0.9515580131423639,0.9536687555940174,0.9878558656166871,14.1,12.851095143953959
BreastCancer,BWOA,0.9548330404217927,0.9540530609776201,0.949061888906506,0.949061888906506,0.9514306515842341,0.9878527826224828,13.9,12.582292532920837
BreastCancer,BSSA,0.9555360281195079,0.9546271670830312,0.9500052851329212,0.9500052851329212,0.9522090895558504,0.98795143843701,14.333333333333334,12.606051254272462
BreastCancer,BHHO,0.9547744581136496,0.9540268337203295,0.9489513415429065,0.9489513415429065,0.9513645409531226,0.9878309814491834,15.0,12.336626744270324
BreastCancer,BSCA,0.956473345049795,0.9558425853105139,0.9508161126085656,0.9508161126085656,0.9531949734109914,0.9884757676655568,13.333333333333334,12.288474194208781
BreastCancer,BGOA,0.9564147627416519,0.9555617986753524,0.950961013336152,0.950961013336152,0.9531523459516058,0.9885339041276887,15.4,12.908011929194133
BreastCancer,BWSO,0.9548330404217926,0.9540543344819774,0.9490618889065058,0.9490618889065058,0.9514311924819329,0.987928536194352,13.066666666666666,2.828190501530965
BreastCancer,BEHO,0.9551259519625073,0.9544971215715812,0.9492633845991225,0.9492633845991225,0.9517370191157717,0.9879923982171486,11.9,4.932573310534159
BreastCancer,BCMAES,0.957352079671939,0.9569305457732465,0.9516121857548049,0.9516121857548049,0.9541217625687934,0.9880522963902543,9.833333333333334,2.5639409462610883
Ionosphere,AMPA_FS,0.9233618233618234,0.9235416147574969,0.9088518518518519,0.9088518518518519,0.9153120036478143,0.9726360964138743,11.066666666666666,5.347110303243001
Ionosphere,BMPA,0.9264957264957266,0.9274917115466621,0.9118201058201059,0.9118201058201059,0.9186994878362112,0.9709717813051147,10.6,5.241424783070882
Ionosphere,BPSO,0.923076923076923,0.9230996617800751,0.9086878306878307,0.9086878306878307,0.9150367426216726,0.96875543797766,9.966666666666667,8.875026241938274
Ionosphere,BGA,0.9211775878442545,0.9212128405344343,0.9063333333333333,0.9063333333333333,0.9128960474629456,0.9670047031158141,9.566666666666666,1.2614229520161946
Ionosphere,BGWO,0.9270655270655273,0.9281067955085952,0.9125555555555555,0.9125555555555555,0.9193739042728022,0.9733786008230454,14.4,9.198960336049398
Ionosphere,BWOA,0.9260208926875594,0.9264810133204853,0.9117989417989417,0.9117989417989417,0.9182818674233464,0.9731428571428571,12.933333333333334,9.117655007044474
Ionosphere,BSSA,0.9261158594491928,0.9263983178644327,0.9120476190476191,0.9120476190476191,0.9184034926102651,0.9737760141093477,14.133333333333333,9.0040225426356
Ionosphere,BHHO,0.9283000949667617,0.9288432936078532,0.9144497354497356,0.9144497354497356,0.9208222503765569,0.9738424456202235,13.433333333333334,8.958117699623108
Ionosphere,BSCA,0.9264007597340931,0.9264907911966148,0.9125608465608466,0.9125608465608466,0.9187578510875559,0.9741787184009407,13.566666666666666,8.909373680750528
Ionosphere,BGOA,0.9270655270655273,0.9281360475767885,0.9124391534391535,0.9124391534391535,0.9193520099413115,0.9742251616696062,16.633333333333333,9.525547138849895
Ionosphere,BWSO,0.9258309591642926,0.9272751311080961,0.9106613756613756,0.9106613756613756,0.9178876341546248,0.9714679600235158,12.766666666666667,3.0994143803914387
Ionosphere,BEHO,0.9264957264957266,0.9271370741893157,0.9122275132275134,0.9122275132275134,0.91879569390685,0.9720164609053498,11.966666666666667,4.450761294364929
