Dataset,Algorithm,Fitness_Mean,Fitness_Std,KNN_Acc_Mean,RF_Acc_Mean,RF_Acc_Std,Selected_Mean,Selected_Std,Time_Mean
Zoo,BSSA,0.02067607526881719,0.015609712199636668,0.9838709677419357,0.9415757575757577,0.02402355746202698,7.533333333333333,1.3097921802925665,4.949898687998454
Zoo,BHHO,0.019549059139784934,0.015528531968964086,0.9849462365591399,0.9461212121212123,0.020566271745675907,7.433333333333334,1.33374993491617,4.9258944114049275
Zoo,BSCA,0.01817204301075268,0.015585184558696723,0.9860215053763443,0.9446363636363636,0.01982756241712427,6.933333333333334,1.2631530214330946,4.948253504435221
Zoo,BGOA,0.021155241935483855,0.015630522913962563,0.9838709677419357,0.9423333333333336,0.024615705677958396,8.3,1.2948616399703357,5.435051918029785
Zoo,BWSO,0.03939986559139786,0.02191428245554138,0.9645161290322581,0.9331818181818183,0.027609785864473727,6.833333333333333,1.6947631758514883,0.569467282295227
Zoo,BEHO,0.020196908602150527,0.017752080191165427,0.9838709677419356,0.9503636363636365,0.019002102247045263,6.766666666666667,1.453348623772776,2.110216212272644
Zoo,BCMAES,0.01992607526881719,0.015869622005261954,0.9838709677419357,0.9433333333333334,0.02465445308525349,6.333333333333333,1.4907119849998596,0.9788917064666748
Heart,AMPA_FS,0.12107000864304236,0.019177540582882357,0.8831460674157303,0.8013180076628353,0.01767001624289471,7.0,1.7888543819998317,3.982969705263774
Heart,BMPA,0.12072486315182945,0.020198927026213,0.8835205992509364,0.8003984674329504,0.019412286413914664,7.033333333333333,1.991370270832513,3.8584519068400067
Heart,BPSO,0.11370556035724574,0.02162772292383024,0.8906367041198503,0.795072796934866,0.025476594828860596,7.066666666666666,1.7688665548562132,4.394769899050394
Heart,BGA,0.12881705560357246,0.02734831088581838,0.8749063670411985,0.7914980842911877,0.030945060375522304,6.466666666666667,1.7074997966487597,0.38594027360280353
Heart,BGWO,0.11522817631806395,0.01960320461074078,0.8895131086142324,0.8042375478927204,0.019206382555548265,7.6,1.6451950239004087,4.409494058291117
Heart,BWOA,0.11755545952175167,0.020665959612484637,0.8872659176029962,0.8038199233716476,0.0212127297490722,7.733333333333333,1.9482185594936607,6.540249681472778
Heart,BSSA,0.11875655430711611,0.018616873637143518,0.8857677902621723,0.7990842911877396,0.024462144530370517,7.366666666666666,1.6829207415152454,6.436066754659017
Heart,BHHO,0.11682569864592336,0.021731850221091392,0.8876404494382022,0.7980421455938698,0.025972628446105817,7.266666666666667,1.8961950204437188,6.510999798774719
Heart,BSCA,0.11971506770383175,0.020818615974124485,0.8846441947565543,0.7957318007662837,0.022890744877016284,7.166666666666667,1.881193474602995,6.554588929812113
Heart,BGOA,0.11954940939210602,0.020301535540545347,0.8850187265917604,0.8026551724137931,0.021503559974052424,7.433333333333334,1.8917951498216952,6.446191740036011
Heart,BWSO,0.13274387784500147,0.024205280608704086,0.8715355805243445,0.7981494252873563,0.0191352292916505,7.233333333333333,1.5638272140986533,0.41978660424550374
Heart,BEHO,0.11842322097378279,0.022563733754864194,0.8857677902621721,0.7928735632183908,0.029750981291916157,6.933333333333334,1.5477582354991866,1.2381805181503296
Heart,BCMAES,0.11646672428694904,0.02082538061040076,0.8876404494382023,0.7987164750957857,0.02256034383121914,6.8,1.833030277982336,0.6453164498011271
BreastCancer,AMPA_FS,0.017260233918128694,0.007842677063986194,0.9865497076023391,0.9580785296574771,0.007160723696555184,11.933333333333334,2.8039654459750785,7.763861846923828
BreastCancer,BMPA,0.017958479532163785,0.008080877068349018,0.9855750487329433,0.9587113617376776,0.006449891513079586,11.033333333333333,2.243261514452165,7.4107534170150755
BreastCancer,BPSO,0.014826315789473705,0.007730489428897802,0.9886939571150096,0.9603550543024226,0.006664134663842519,10.9,2.226357263932873,12.527628302574158
BreastCancer,BGA,0.01677134502923979,0.008228635603626376,0.9865497076023391,0.9589484126984126,0.006049116572184696,10.366666666666667,2.8341175385333304,1.4975011348724365
BreastCancer,BGWO,0.017629824561403534,0.008143307526680707,0.9869395711500973,0.9581359649122808,0.006702182266320836,14.1,2.7610384519838425,12.851095143953959
BreastCancer,BWOA,0.018721052631578975,0.008183420230986931,0.9857699805068224,0.9569621971595657,0.006820037927099981,13.9,2.724579478255926,12.582292532920837
BreastCancer,BSSA,0.018865497076023422,0.008290704550881173,0.9857699805068224,0.9591865079365078,0.005993207847442831,14.333333333333334,2.9814239699997196,12.606051254272462
BreastCancer,BHHO,0.0188947368421053,0.008391002670916647,0.9859649122807016,0.9600710108604847,0.005841090898496774,15.0,2.932575659723036,12.336626744270324
BreastCancer,BSCA,0.019111111111111145,0.008253353756310514,0.985185185185185,0.9619454887218045,0.005724266049783038,13.333333333333334,2.494438257849294,12.288474194208781
BreastCancer,BGOA,0.019800000000000033,0.007943140245977785,0.985185185185185,0.9600553467000835,0.005350130515181356,15.4,2.346628787573072,12.908011929194133
BreastCancer,BWSO,0.019408187134502954,0.008152218277035305,0.9847953216374268,0.9605294486215541,0.004975737913507186,13.066666666666666,2.3228335186912465,2.828190501530965
BreastCancer,BEHO,0.01689649122807021,0.008238430801705176,0.9869395711500973,0.9589578111946532,0.006381043628101731,11.9,2.7,4.932573310534159
BreastCancer,BCMAES,0.015435672514619914,0.00871637034552076,0.9877192982456139,0.9611706349206348,0.006201703001847864,9.833333333333334,2.6718699236468995,2.5639409462610883
Ionosphere,AMPA_FS,0.06800961894191637,0.022132056628335513,0.9342767295597483,0.9263015873015874,0.011018845946213916,11.166666666666666,3.2668367302670975,5.347110303243001
Ionosphere,BMPA,0.07036293007769144,0.01902834366617779,0.9320754716981131,0.9259285714285714,0.011077048127226857,10.6,3.0066592756745822,5.241424783070882
Ionosphere,BPSO,0.06301627820939697,0.019155989054356306,0.9393081761006287,0.9214391534391534,0.014200994133226659,9.966666666666667,2.2283526551144353,8.875026241938274
Ionosphere,BGA,0.05978542360340362,0.019343840478436312,0.9424528301886792,0.9213544973544976,0.0104395690952575,9.566666666666666,3.1057294723712747,1.2614229520161946
Ionosphere,BGWO,0.08113152053274138,0.021834554565149798,0.9223270440251572,0.928962962962963,0.01043057516070622,14.4,2.7398296784046026,9.198960336049398
Ionosphere,BWOA,0.08319071402145761,0.020983233241029558,0.9198113207547169,0.9264920634920635,0.010847658997190342,12.933333333333334,2.462158041682585,9.117655007044474
Ionosphere,BSSA,0.08634554199038104,0.02225473923160127,0.9169811320754716,0.925436507936508,0.010892381279300357,14.133333333333333,2.94089933334837,9.0040225426356
Ionosphere,BHHO,0.08458305586385495,0.02274695572110172,0.9185534591194968,0.928494708994709,0.010738801725046033,13.433333333333334,2.4857370916669543,8.958117699623108
Ionosphere,BSCA,0.08182038475767664,0.021695889386640348,0.921383647798742,0.9259074074074075,0.007851333519450669,13.566666666666666,2.216353361317239,8.909373680750528
Ionosphere,BGOA,0.09081668516463186,0.022133382817585916,0.9132075471698112,0.9250661375661378,0.009012231997612525,16.633333333333333,2.316366887078892,9.525547138849895
